Date,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,CLOSE,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades 
2021-02-08,EQ,1186,"1,220.00","1,185.00","1,186.10","1,213.00",1210.8,"1,206.34","1,220.00",385.05,1955804,"2,35,93,57,008.85",46930
2021-02-09,EQ,1210,"1,226.50","1,204.00","1,210.80","1,221.00",1217.95,"1,216.57","1,226.50",385.05,1727089,"2,10,11,28,129.20",48558
2021-02-10,EQ,1216,"1,249.00","1,216.00","1,217.95","1,231.00",1231.4,"1,236.38","1,249.00",385.05,3264009,"4,03,55,49,734.20",97031
2021-02-11,EQ,1223,"1,244.80","1,221.60","1,231.40","1,236.70",1235.45,"1,235.73","1,249.00",385.05,1216492,"1,50,32,58,841.90",35414
2021-02-12,EQ,1244,"1,254.80","1,221.05","1,235.45","1,239.75",1242.1,"1,242.85","1,254.80",385.05,3421387,"4,25,22,62,873.10",106772
2021-02-15,EQ,1257.05,"1,258.60","1,216.75","1,242.10","1,234.40",1227.95,"1,229.51","1,258.60",385.05,1914247,"2,35,35,79,397.90",46416
2021-02-16,EQ,1234.4,"1,257.00","1,225.60","1,227.95","1,242.00",1243.75,"1,242.39","1,258.60",385.05,1561647,"1,94,01,67,719.05",37314
2021-02-17,EQ,1228.1,"1,249.00","1,228.00","1,243.75","1,237.90",1238.45,"1,237.98","1,258.60",385.05,1048606,"1,29,81,52,830.30",25875
2021-02-18,EQ,1238.45,"1,247.65","1,213.00","1,238.45","1,225.65",1229.65,"1,230.53","1,258.60",385.05,1536486,"1,89,06,98,729.20",36237
2021-02-19,EQ,1231.75,"1,239.70","1,210.00","1,229.65","1,221.50",1218,"1,224.62","1,258.60",385.05,1314508,"1,60,97,70,633.60",32796
2021-02-22,EQ,1221.5,"1,235.00","1,215.00","1,218.00","1,226.00",1230.5,"1,225.67","1,258.60",385.05,1128617,"1,38,33,10,547.15",28087
2021-02-23,EQ,1239,"1,249.90","1,221.60","1,230.50","1,229.00",1231.5,"1,232.63","1,258.60",385.05,1434663,"1,76,84,03,346.30",48980
2021-02-24,EQ,1239,"1,257.00","1,231.25","1,231.50","1,255.70",1250.2,"1,243.10","1,258.60",385.05,441927,"54,93,60,366.50",17626
2021-02-25,EQ,1258,"1,289.00","1,254.00","1,250.20","1,271.65",1270.45,"1,270.41","1,289.00",385.05,1942025,"2,46,71,58,875.85",61246
2021-02-26,EQ,1255,"1,270.00","1,190.85","1,270.45","1,200.00",1200.8,"1,222.95","1,289.00",385.05,2798547,"3,42,24,90,778.25",62177
2021-03-01,EQ,1206.95,"1,270.00","1,202.20","1,200.80","1,270.00",1265.95,"1,247.63","1,289.00",385.05,1601364,"1,99,79,09,945.30",40467
2021-03-02,EQ,1275,"1,298.50","1,261.00","1,265.95","1,295.80",1294.75,"1,283.66","1,298.50",385.05,1954073,"2,50,83,68,011.40",61337
