Date,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,LTP,CLOSE,VWAP,52W H ,52W L ,VOLUME ,VALUE ,No of trades 
2021-02-15,EQ,2495,"2,517.50","2,448.55","2,486.10","2,463.00",2456.75,"2,481.34","2,873.45","1,431.20",1634576,"4,05,59,39,411.80",75619
2021-02-16,EQ,2472,"2,475.10","2,422.00","2,456.75","2,453.00",2450.25,"2,442.51","2,873.45","1,431.20",1615849,"3,94,67,30,311.55",89982
2021-02-17,EQ,2436,"2,455.05","2,382.00","2,450.25","2,386.00",2388.15,"2,404.67","2,873.45","1,431.20",3178784,"7,64,39,24,159.85",138806
2021-02-18,EQ,2424,"2,479.60","2,395.25","2,388.15","2,471.00",2470.75,"2,449.52","2,873.45","1,431.20",4253843,"10,41,98,60,315.05",139037
2021-02-19,EQ,2470.9,"2,470.90","2,400.00","2,470.75","2,423.20",2416.45,"2,426.74","2,873.45","1,431.20",2244567,"5,44,69,84,959.65",106810
2021-02-22,EQ,2428.75,"2,448.00","2,380.00","2,416.45","2,387.30",2387.05,"2,415.85","2,873.45","1,431.20",2002642,"4,83,80,83,885.35",100102
2021-02-23,EQ,2375,"2,400.00","2,315.00","2,387.05","2,376.00",2372.2,"2,352.09","2,873.45","1,431.20",3267268,"7,68,48,98,465.35",152011
2021-02-24,EQ,2373,"2,409.35","2,347.20","2,372.20","2,360.00",2361.35,"2,371.78","2,873.45","1,431.20",1708526,"4,05,22,46,413.40",79913
2021-02-25,EQ,2375,"2,386.25","2,336.20","2,361.35","2,369.90",2373.75,"2,358.24","2,873.45","1,431.20",2839515,"6,69,62,48,242.40",136562
2021-02-26,EQ,2338.05,"2,360.00","2,260.00","2,373.75","2,278.00",2277.2,"2,305.79","2,873.45","1,431.20",3933813,"9,07,05,47,872.70",209048
2021-03-01,EQ,2300,"2,369.90","2,300.00","2,277.20","2,368.00",2362.3,"2,337.62","2,873.45","1,431.20",2545806,"5,95,11,17,727.05",93047
2021-03-02,EQ,2386,"2,402.55","2,359.00","2,362.30","2,391.00",2390.4,"2,382.60","2,873.45","1,431.20",2033586,"4,84,52,15,635.45",92939
2021-03-03,EQ,2406,"2,417.70","2,375.80","2,390.40","2,400.00",2402.1,"2,393.26","2,873.45","1,431.20",1591567,"3,80,90,37,820.25",79230
2021-03-04,EQ,2380,"2,435.00","2,350.00","2,402.10","2,416.00",2417.1,"2,411.09","2,873.45","1,431.20",2149984,"5,18,37,97,241.00",103736
2021-03-05,EQ,2399,"2,423.90","2,377.10","2,417.10","2,385.00",2387.1,"2,398.28","2,873.45","1,431.20",1953642,"4,68,53,74,414.55",92175
2021-03-08,EQ,2383,"2,413.50","2,360.05","2,387.10","2,382.75",2382.7,"2,385.72","2,873.45","1,431.20",1593838,"3,80,24,54,375.55",87571
2021-03-09,EQ,2400,"2,444.00","2,396.15","2,382.70","2,420.00",2422.7,"2,423.43","2,873.45","1,431.20",1800442,"4,36,32,42,349.80",94313
2021-03-10,EQ,2446,"2,446.00","2,415.55","2,422.70","2,429.35",2431.95,"2,432.03","2,873.45","1,431.20",1056102,"2,56,84,72,088.60",71351
2021-03-12,EQ,2442.8,"2,464.65","2,397.00","2,431.95","2,402.55",2401.35,"2,428.31","2,873.45","1,431.20",1279203,"3,10,63,06,661.75",85288
2021-03-15,EQ,2402.55,"2,427.55","2,343.05","2,401.35","2,357.90",2355,"2,367.04","2,873.45","1,431.20",1524455,"3,60,84,42,444.65",86759
2021-03-16,EQ,2379.2,"2,480.00","2,375.35","2,355.00","2,465.75",2468.6,"2,442.28","2,873.45","1,431.20",4230564,"10,33,22,21,370.30",155661
2021-03-17,EQ,2460,"2,460.00","2,411.10","2,468.60","2,426.00",2422.95,"2,427.58","2,873.45","1,431.20",1623187,"3,94,04,08,629.95",90724
2021-03-18,EQ,2468.85,"2,468.85","2,390.00","2,422.95","2,410.00",2404.55,"2,420.13","2,873.45","1,431.20",1851739,"4,48,14,46,307.30",97263
2021-03-19,EQ,2393,"2,434.00","2,355.35","2,404.55","2,411.00",2411.25,"2,407.07","2,873.45","1,431.20",3738079,"8,99,78,12,978.80",106664
2021-03-22,EQ,2390,"2,438.10","2,390.00","2,411.25","2,427.95",2425.7,"2,419.88","2,873.45","1,446.00",1489853,"3,60,52,60,435.55",74852
2021-03-23,EQ,2430,"2,433.95","2,398.20","2,425.70","2,410.00",2410.3,"2,411.16","2,873.45","1,446.00",1745466,"4,20,85,90,890.60",92301
2021-03-24,EQ,2410.3,"2,470.00","2,410.00","2,410.30","2,444.00",2443.55,"2,451.13","2,873.45","1,446.00",4132092,"10,12,82,86,841.20",163476
2021-03-25,EQ,2450.95,"2,469.00","2,392.00","2,443.55","2,402.80",2402.2,"2,428.85","2,873.45","1,446.00",2272545,"5,51,96,65,903.90",107083
2021-03-26,EQ,2425,"2,513.95","2,409.10","2,402.20","2,498.00",2505.15,"2,481.80","2,873.45","1,446.00",3084607,"7,65,53,76,385.65",142167
2021-03-30,EQ,2539.1,"2,583.45","2,521.50","2,505.15","2,571.25",2578.05,"2,559.50","2,873.45","1,482.95",2333410,"5,97,23,57,192.30",117958
2021-03-31,EQ,2578.05,"2,582.95","2,531.00","2,578.05","2,537.00",2537.4,"2,553.27","2,873.45","1,482.95",1616044,"4,12,62,03,985.35",73169
2021-04-01,EQ,2532,"2,564.55","2,532.00","2,537.40","2,545.00",2551.75,"2,549.80","2,873.45","1,482.95",1219588,"3,10,97,11,122.00",54928
2021-04-05,EQ,2558,"2,558.00","2,484.50","2,551.75","2,512.00",2510.65,"2,509.91","2,873.45","1,482.95",1268939,"3,18,49,19,119.35",74815
2021-04-06,EQ,2526,"2,620.00","2,504.50","2,510.65","2,610.10",2611.6,"2,585.83","2,873.45","1,482.95",3372846,"8,72,16,12,490.50",178805
2021-04-07,EQ,2605,"2,668.05","2,600.10","2,611.60","2,621.60",2628.6,"2,644.44","2,873.45","1,482.95",1937977,"5,12,48,71,995.00",110658
2021-04-08,EQ,2630,"2,658.40","2,628.00","2,628.60","2,643.95",2650.65,"2,647.85","2,873.45","1,482.95",897483,"2,37,63,98,265.70",60031
2021-04-09,EQ,2635,"2,655.00","2,610.15","2,650.65","2,635.00",2630.8,"2,626.70","2,873.45","1,482.95",1185017,"3,11,26,83,743.85",74094
2021-04-12,EQ,2578.2,"2,610.00","2,555.00","2,630.80","2,602.35",2602.2,"2,587.63","2,873.45","1,482.95",1427691,"3,69,43,30,762.55",81793
2021-04-13,EQ,2600,"2,626.00","2,564.30","2,602.20","2,574.50",2570.7,"2,587.13","2,873.45","1,482.95",1200230,"3,10,51,53,771.85",70840
2021-04-15,EQ,2590,"2,593.55","2,537.00","2,570.70","2,581.60",2587.7,"2,568.50","2,873.45","1,482.95",1209829,"3,10,74,40,016.15",67289
2021-04-16,EQ,2587.6,"2,693.50","2,581.70","2,587.70","2,654.00",2663.7,"2,661.98","2,873.45","1,482.95",2760777,"7,34,91,45,879.05",126733
2021-04-19,EQ,2650,"2,650.00","2,566.85","2,663.70","2,575.00",2571.9,"2,590.54","2,873.45","1,482.95",1552036,"4,02,06,17,648.50",93671
2021-04-20,EQ,2600,"2,604.70","2,528.80","2,571.90","2,547.90",2553.65,"2,564.75","2,873.45","1,482.95",1489287,"3,81,96,47,272.30",79691
2021-04-22,EQ,2555.65,"2,557.00","2,488.00","2,553.65","2,510.00",2511.25,"2,510.01","2,873.45","1,482.95",1690758,"4,24,38,16,466.05",82103
2021-04-23,EQ,2527.1,"2,565.00","2,496.20","2,511.25","2,520.00",2517.95,"2,523.48","2,873.45","1,482.95",1614593,"4,07,43,99,949.45",78286
2021-04-26,EQ,2530,"2,575.00","2,530.00","2,517.95","2,558.00",2557.9,"2,557.47","2,873.45","1,482.95",1103980,"2,82,33,99,610.85",58557
2021-04-27,EQ,2545,"2,579.90","2,534.00","2,557.90","2,571.00",2574.35,"2,560.55","2,873.45","1,482.95",866331,"2,21,82,87,556.55",66988
2021-04-28,EQ,2588,"2,620.25","2,575.00","2,574.35","2,612.00",2614.55,"2,605.91","2,873.45","1,482.95",1065561,"2,77,67,51,915.10",52622
2021-04-29,EQ,2630,"2,642.00","2,570.00","2,614.55","2,613.00",2613.45,"2,607.33","2,873.45","1,482.95",1295346,"3,37,73,94,306.10",64039
2021-04-30,EQ,2595,"2,605.80","2,524.05","2,613.45","2,529.00",2536.4,"2,558.66","2,873.45","1,482.95",1384907,"3,54,35,11,862.45",91934
